,machine_id,mem_util_percent,label
2018-01-02 03:55:00,m_1939,85.5,Anomaly
2018-01-02 04:00:00,m_1939,89.0,Anomaly
2018-01-02 04:05:00,m_1939,87.0,Anomaly
2018-01-02 04:10:00,m_1939,87.33333333333331,Anomaly
2018-01-02 04:15:00,m_1939,87.0,Anomaly
2018-01-02 04:20:00,m_1939,90.0,Anomaly
2018-01-02 04:25:00,m_1939,86.33333333333331,Anomaly
2018-01-02 08:15:00,m_1939,81.5,Anomaly
2018-01-02 08:20:00,m_1939,82.83333333333333,Anomaly
2018-01-02 08:25:00,m_1939,86.0,Anomaly
2018-01-02 08:30:00,m_1939,83.25,Anomaly
2018-01-02 08:35:00,m_1939,82.25,Anomaly
2018-01-02 08:40:00,m_1939,82.5,Anomaly
2018-01-02 08:45:00,m_1939,82.33333333333333,Anomaly
2018-01-02 08:50:00,m_1939,81.0,Anomaly
2018-01-02 08:55:00,m_1939,85.4,Anomaly
2018-01-02 09:00:00,m_1939,86.5,Anomaly
2018-01-02 09:05:00,m_1939,91.0,Anomaly
2018-01-02 09:10:00,m_1939,89.0,Anomaly
2018-01-02 10:30:00,m_1939,82.0,Anomaly
2018-01-02 10:35:00,m_1939,83.0,Anomaly
2018-01-02 10:40:00,m_1939,82.5,Anomaly
2018-01-02 10:55:00,m_1939,82.0,Anomaly
2018-01-02 11:00:00,m_1939,84.0,Anomaly
2018-01-02 11:05:00,m_1939,84.33333333333333,Anomaly
2018-01-02 11:10:00,m_1939,87.5,Anomaly
2018-01-02 11:15:00,m_1939,85.16666666666667,Anomaly
2018-01-02 11:20:00,m_1939,86.5,Anomaly
2018-01-02 11:25:00,m_1939,88.2,Anomaly
2018-01-02 11:30:00,m_1939,87.0,Anomaly
2018-01-02 11:35:00,m_1939,86.8,Anomaly
2018-01-02 11:40:00,m_1939,87.5,Anomaly
2018-01-02 11:45:00,m_1939,87.5,Anomaly
2018-01-02 11:50:00,m_1939,86.0,Anomaly
2018-01-02 11:55:00,m_1939,86.0,Anomaly
2018-01-02 12:00:00,m_1939,89.33333333333331,Anomaly
2018-01-02 12:05:00,m_1939,86.0,Anomaly
2018-01-02 12:10:00,m_1939,87.0,Anomaly
2018-01-02 12:15:00,m_1939,89.0,Anomaly
2018-01-02 12:20:00,m_1939,88.5,Anomaly
2018-01-02 12:25:00,m_1939,88.375,Anomaly
2018-01-02 12:30:00,m_1939,88.0,Anomaly
2018-01-02 12:35:00,m_1939,89.75,Anomaly
2018-01-02 12:40:00,m_1939,88.66666666666669,Anomaly
2018-01-02 12:45:00,m_1939,89.66666666666669,Anomaly
2018-01-02 12:50:00,m_1939,87.0,Anomaly
2018-01-02 12:55:00,m_1939,86.0,Anomaly
2018-01-02 13:00:00,m_1939,88.83333333333331,Anomaly
2018-01-02 13:05:00,m_1939,89.0,Anomaly
